,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
7218,569766140332937216,negative,1.0,Late Flight,1.0,American,,anasmom,,0,@AmericanAir working over time tonight?  Got delayed 2 days .. In SJU .. Could be worse :),,2015-02-22 23:50:08-08:00,Bay Area,Pacific Time (US & Canada)
5889,568646628795666432,neutral,0.7024,,0.0,US Airways,,jmspool,,0,@USAirways Mobile boarding pass email.,,2015-02-19 21:41:35-08:00,"42.635976,-71.164046",Eastern Time (US & Canada)
2974,568885971913023488,negative,0.6832,Can't Tell,0.6832,Southwest,,erin_christman,,0,@SouthwestAir okaaaaay UGH IM 8 MIN AWAY,,2015-02-20 13:32:39-08:00,TX | CA,Central Time (US & Canada)
1628,568778986567933952,negative,1.0,Customer Service Issue,0.3583,United,,cleskowitz,,0,"@united instead of making  seats smaller/thinner so u can jam more people on a flight,u should concentrate on maint &amp; happy customers",,2015-02-20 06:27:32-08:00,Phila. PA,Eastern Time (US & Canada)
3684,570221178658418689,positive,1.0,,,Delta,,AStateOfSnark,,0,@JetBlue incredible PR team. 👏👏👏👏,,2015-02-24 05:58:17-08:00,Boston,Atlantic Time (Canada)
4307,568992314296819712,negative,0.662,Flight Booking Problems,0.662,Delta,,KoolieAshSays,,0,@JetBlue why won't the site let me book tickets for nov for jfk to kin?,"[40.88539964, -73.85658056]",2015-02-20 20:35:13-08:00,"ÜT: 17.9889591,-76.7712636",Pacific Time (US & Canada)
4060,569603039750852608,negative,0.6882,Can't Tell,0.6882,Delta,,libingobugle,,0,@JetBlue does not fit in 140,"[0.0, 0.0]",2015-02-22 13:02:02-08:00,"Ft. Lauderdale, FL",Eastern Time (US & Canada)
4824,567853709100720128,negative,1.0,Flight Attendant Complaints,1.0,Delta,,brian_cristiano,,0,@JetBlue tell your employees that!,,2015-02-17 17:10:49-08:00,"New York, New York",Eastern Time (US & Canada)
5795,568885966523527168,neutral,1.0,,,US Airways,,DavidHall1981,,0,"@USAirways I'm not a frequent flyer with US airways, I'm qantas? Can I still get notifications? Thank you",,2015-02-20 13:32:38-08:00,"Adelaide, South Australia",Adelaide
4868,567801567630618624,neutral,0.6664,,0.0,Delta,,thereal_SNL,,0,@JetBlue is bag check cut off 30 minutes before the original departure time or the estimated time shown online?,,2015-02-17 13:43:37-08:00,District of Columbia,Eastern Time (US & Canada)
5435,569555072067051520,negative,1.0,longlines,1.0,US Airways,,countryguyusa,,0,@USAirways 45 minutes and moved two feet in BZE. 👎 http://t.co/AwGjkjIIac,,2015-02-22 09:51:25-08:00,World,Eastern Time (US & Canada)
4576,568442965661761536,positive,1.0,,,Delta,,kzone7,,0,@JetBlue That's why I love JetBlue! #truebluemember4life,,2015-02-19 08:12:18-08:00,"Long Island, NY",Eastern Time (US & Canada)
2978,568884731489562624,neutral,0.6667,,,Southwest,,franks105,,0,@SouthwestAir 5 min away!,,2015-02-20 13:27:44-08:00,Hogwarts,Pacific Time (US & Canada)
1874,568291966909181952,neutral,0.6781,,0.0,United,,drooln,,0,"@united KOA-LAX should have fresh food service, right?",,2015-02-18 22:12:17-08:00,"Keauhou, Hawaii USA",Hawaii
1806,568458701046050816,neutral,0.6507,,0.0,United,,ellieINchicago,,0,@united you need to follow me I order for me to DM....,"[34.06979432, -117.57757056]",2015-02-19 09:14:50-08:00,"Chicago, IL",Central Time (US & Canada)
3928,569902181366820864,negative,1.0,Late Flight,1.0,Delta,,KerryDang,,0,@JetBlue Unhappy with 4 hour delayed flight.. Missed dinner,,2015-02-23 08:50:42-08:00,"Boston, MA",Eastern Time (US & Canada)
494,570040251764183040,negative,1.0,Lost Luggage,1.0,United,,Bozboyku1,,0,"@united 3 days Late Flightr and my bag has not left IAD, United is not helping at all. Everyone tells me a different story",,2015-02-23 17:59:21-08:00,Lees Summit,Mountain Time (US & Canada)
