,text
0,Burlington County is trying to boost its COVID-19 vaccination rate as the holidays and colder weather approach by r… https://t.co/VMz5n0B39p
1,"@Canadam86133441 @Virg21Nicholls https://t.co/cO1yOrwUQH
https://t.co/KKsQPv52SH
Iceland: most vax per pop, 3rd low… https://t.co/qx0XuEJFfa"
2,Why is Africa’s Covid-19 vaccination rate so low? https://t.co/FvKEBcmUn3 via @qzafrica
3,"@Caro2Ma @roonbot2 @Nieuwsuur valt tegen hoor. nl op plaats 19 in de EU:

https://t.co/c0yXwlM7Pn https://t.co/kEOLz1y6qz"
4,Burlington County is trying to boost its COVID-19 vaccination rate as the holidays and colder weather approach by r… https://t.co/mPTRBFgOTj
5,The COVID-19 vaccination rate among workers in Arizona nursing homes remains lower than that of most other states.… https://t.co/Tg1AUkNwLw
6,RT @qzafrica: Why is Africa’s Covid-19 vaccination rate so low? https://t.co/HOtmCfSugH
7,https://t.co/2MoLOTA01t
8,"RT @samike88: Ontario will expand vaccine booster eligibility to anyone 50 and up
The expected opening date is mid-December but could move…"
9,RT @kjzzphoenix: The COVID-19 vaccination rate among workers in Arizona nursing homes remains lower than that of most other states. @KDYJou…
10,Why is Africa’s Covid-19 vaccination rate so low? https://t.co/HOtmCfSugH
11,RT @qz: Why is Africa’s Covid-19 vaccination rate so low? https://t.co/e6rGPFcJvZ
12,Why is Africa’s Covid-19 vaccination rate so low? https://t.co/e6rGPFcJvZ
13,"RT @MarieWinz: As a researcher, I like looking at data myself. I looked at relationship between Covid-19 vaccination rate and Covid-19 7 da…"
14,Top 10 counties with the highest COVID-19 vaccination rate in Virginia https://t.co/bW3GPOrXFg
15,"@JosephyneT Not entirely true. Though mandatory vaccination appears to be mostly a local government initiative 
https://t.co/ZF6speajsW"
16,"@LozzaFox @lapogus1 @OliverDowden Perhaps not quite fascism, but authoritarian and not far off China. How long befo… https://t.co/RO05rYIvmi"
17,"RT @Marco_Piani: One can tweak the periods / dates considered, but I think the outcome is pretty robust: not so surprisingly, the higher th…"
18,"@GretaThunberg |• the greenhouse effect global warming°
Tectonique croûtes oceanique et
Continentales.statistics.… https://t.co/aieBA38rMh"
19,The COVID-19 vaccination rate among workers in Arizona nursing homes remains lower than that of most other states.… https://t.co/U62H8zrhij
20,"One can tweak the periods / dates considered, but I think the outcome is pretty robust: not so surprisingly, the hi… https://t.co/5taqozIZWm"
21,Health Share of Oregon is working with regional partners to continue to increase COVID-19 vaccination rates. It's w… https://t.co/wsbF16xNwC
22,"@DumbDumbMM @Zacnaloen https://t.co/eGZr8b8fFF

This seems to suggest most of Europe is broadly similar, but if the… https://t.co/PaVpdfiVQs"
23,"Ontario will expand vaccine booster eligibility to anyone 50 and up
The expected opening date is mid-December but c… https://t.co/RdfH6HBfYg"
