,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
1402,568965585620459520,negative,1.0,Flight Attendant Complaints,0.3407,United,,Csqd,,1,@united Then why did your staff refuse to let ME on the earlier flight citing my having checked a bag?!?!,"[40.71518191, -73.99595593]",2015-02-20 18:49:01-08:00,"Vail, CO",Mountain Time (US & Canada)
1889,568274855814152192,neutral,1.0,,,United,,dougvansant,,0,@united I want a hotel room and a whiskey.,,2015-02-18 21:04:18-08:00,NYC - DC - LA,Tehran
4103,569548726265470976,neutral,0.6606,,0.0,Delta,,nickrau_,,0,@JetBlue Customer of the year? http://t.co/epqqONHO2H,,2015-02-22 09:26:12-08:00,"Nashville, TN",Central Time (US & Canada)
54,569919041244147712,negative,1.0,Can't Tell,0.6513,Virgin America,,MaryAnnTaylorT,,0,@VirginAmerica Why is the site down?  When will it be back up?,,2015-02-23 09:57:42-08:00,"New York, NY",Arizona
6961,569952945028108288,negative,1.0,Bad Flight,0.3855,American,,DanJWillis,,0,"@AmericanAir hey ho its not me losing any money (only you) just next make sure you stick to the ""flyers right's booklet""",,2015-02-23 12:12:25-08:00,my top secret gaming facility,Casablanca
4821,567874970463780864,positive,1.0,,,Delta,,Krocheima,,0,@JetBlue I just wanted to say flight attendant fitz was the best tonight on flight #1326 bwi/Bos. Great guy and made the flight fantastic!,,2015-02-17 18:35:18-08:00,Bahhhston.,Eastern Time (US & Canada)
4117,569538002025779200,neutral,0.6658,,0.0,Delta,,jackburke,,0,@JetBlue 795 to Austin,,2015-02-22 08:43:35-08:00,austin,Eastern Time (US & Canada)
6919,569974287286845441,negative,1.0,Flight Booking Problems,0.6541,American,,AnnaIntheCity,,0,"@AmericanAir that's why I'm asking for exception. Staffer moving last minute,we're a nonprofit &amp; losing $400,we just want to change ticket.",,2015-02-23 13:37:14-08:00,Northern Virginia,Eastern Time (US & Canada)
5603,569341439148236800,neutral,0.6688,,0.0,US Airways,,GPachtinger,,0,@USAirways - My guess is what happened in #Vegas ended up in #Philly #Sexy http://t.co/qgMfCB7yT4,,2015-02-21 19:42:31-08:00,"Levittown, Pa",Eastern Time (US & Canada)
3149,568533372709908480,positive,0.6155,,0.0,Southwest,,MaryWallYall,,0,"@SouthwestAir I'm excited too, but perhaps you could scale your excitement back by a few weeks...",,2015-02-19 14:11:33-08:00,Chicago,Central Time (US & Canada)
7462,569661761449791488,negative,1.0,Cancelled Flight,1.0,American,,2tsieRole,,0,@AmericanAir My flight to @dfwairport was Cancelled Flightled. Mess ensued. Please thank the awesome Marcos (Concierge Key @ GRU) for sorting it out!,,2015-02-22 16:55:22-08:00,I'm everywhere.,Brasilia
5545,569459269394956288,negative,1.0,Cancelled Flight,1.0,US Airways,,ChrisWalters_WV,,0,"@USAirways worst experience with you. Cancelled Flightled flight, no voucher and no luggage because ""ramp was broken."" No other ramps in Charlotte??",,2015-02-22 03:30:44-08:00,West Virginia,Central Time (US & Canada)
4050,569616576481267712,neutral,1.0,,,Delta,,BernardLeCroix,,0,@JetBlue What confirmation number?,,2015-02-22 13:55:49-08:00,"Providence, RI",Eastern Time (US & Canada)
3570,567759608643452929,negative,1.0,Late Flight,0.3804,Southwest,,caffiend,,0,"@SouthwestAir Buying Early Bird was pointless. You moved me to a diff flight b/c first one was delayed, so I lost my boarding position.",,2015-02-17 10:56:53-08:00,"San Antonio, TX",Central Time (US & Canada)
4499,568602933035601921,positive,0.6843,,,Delta,,SnappyKyle,,0,@JetBlue I LOVE JET BLUE!,,2015-02-19 18:47:58-08:00,10 ring,Pacific Time (US & Canada)
2007,568164374248067072,negative,1.0,Can't Tell,1.0,United,,OldMarks,,1,@united this may be the last time I fly your airline.,"[38.94494175, -77.45367931]",2015-02-18 13:45:17-08:00,"Mobile, AL.",Central Time (US & Canada)
5760,568979232786939904,positive,1.0,,,US Airways,,iamchristine_d,,0,@USAirways Kudos to Robin at @PHXSkyHarbor Lost/Found for reuniting me w/ my iPad. She was delightful to work with!,,2015-02-20 19:43:14-08:00,"Ptown, VA",Eastern Time (US & Canada)
7243,569738877969129472,negative,1.0,Late Flight,0.7,American,,excake,,0,@AmericanAir stuck in airplane both on way out of PHL and again in Houston. All passengers frustrated. Makes me want to avoid airline,,2015-02-22 22:01:48-08:00,"Austin, TX",Central Time (US & Canada)
1628,568778986567933952,negative,1.0,Customer Service Issue,0.3583,United,,cleskowitz,,0,"@united instead of making  seats smaller/thinner so u can jam more people on a flight,u should concentrate on maint &amp; happy customers",,2015-02-20 06:27:32-08:00,Phila. PA,Eastern Time (US & Canada)
6323,567728017196457987,neutral,0.6379,,0.0,US Airways,,laura_crom,,0,"@USAirways on your website and on your boards at Logan it said it was on time, so we went through security and got to the gate (2)",,2015-02-17 08:51:21-08:00,boston,Quito
